ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R791,Outside Delhi-NCR,22,1,Very poor,Smartphone,2,1,5,10,6,0,2,Decreased,0,Watching web series,0,0,Roaming around freely,,,
R792,Outside Delhi-NCR,20,7,Poor,Smartphone,2,0,8,3,6,0,2,Remain Constant,1,Scrolling through social media,0,1,Travelling & Friends,,,
R793,Delhi-NCR,35,3,Good,Laptop/Desktop,3,1,7,1,7,1,3,Remain Constant,0,Sleeping,0,0,School/college,,,
R794,Delhi-NCR,40,2,Poor,Smartphone,3,0,5,1,7,1,4,Increased,0,Watching web series,0,1,School/college,,,
R795,Outside Delhi-NCR,18,0,Poor,Laptop/Desktop,2,2,7,4,6,1,3,Remain Constant,0,Online gaming,1,1,School/college,,,
R796,Outside Delhi-NCR,19,4,Very poor,Smartphone,0,0,7,1,5,0,2,Increased,0,Listening to music,0,0,Eating outside,,,
R797,Delhi-NCR,35,4,Average,Laptop/Desktop,4,2,10,2,3,1,3,Remain Constant,0,Online gaming,1,1,Roaming around freely,,,
R798,Delhi-NCR,16,5,Very poor,Laptop/Desktop,4,0.5,8,0.5,5,0,3,Increased,0,Reading books,0,0,Eating outside,,,
R799,Outside Delhi-NCR,30,1,Good,Smartphone,1,1,7,1,7,0,4,Remain Constant,0,Dancing,0,1,School/college,,,
R800,Delhi-NCR,23,5,Excellent,Laptop/Desktop,2,1,8,1,7,4,3,Remain Constant,1,Meditation,1,1,"Friends , relatives",,,
R801,Outside Delhi-NCR,19,2,Average,Laptop/Desktop,5,0,9,2,6,0.5,3,Increased,1,Talking to your relatives,0,1,"Friends , relatives",,,
R802,Outside Delhi-NCR,19,4,Very poor,Smartphone,2,1,8,2,5,1,3,Remain Constant,0,Listening to music,0,1,School/college,,,
R803,Outside Delhi-NCR,37,4,Good,Laptop/Desktop,5,1,7,4,6,0,2,Increased,0,Talking,1,1,Travelling,,,
R804,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,7,1,6,0,2,Increased,0,Scrolling through social media,0,0,School/college,,,
R805,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,0,9,2,5,1,4,Increased,0,Scrolling through social media,1,0,"Friends , relatives",,,
R806,Delhi-NCR,24,0,Average,Smartphone,1,1,8,1,1,0,3,Remain Constant,0,Work,1,0,Roaming around freely,,,
R807,Delhi-NCR,40,0,Average,Laptop/Desktop,0,1,10,2,7,1,3,Increased,0,Watching web series,0,1,"Friends , relatives",,,
R808,Outside Delhi-NCR,20,2,Very poor,Smartphone,1,0.5,8,2,5,5,3,Remain Constant,0,Listening to music,0,1,Roaming around freely,,,
R809,Outside Delhi-NCR,23,3,Poor,Smartphone,4,0,9,3,3,0,2,Increased,0,Watching web series,0,1,"Friends , relatives",,,
R810,Delhi-NCR,26,3,Very poor,Laptop/Desktop,2,1,8,1,5,0,4,Increased,0,Listening to music,1,1,Roaming around freely,,,
R811,Outside Delhi-NCR,20,5,Good,Smartphone,3,0,7,2,5,2,4,Remain Constant,0,Online gaming,0,1,Travelling,,,
R812,Outside Delhi-NCR,22,0,Very poor,Smartphone,4,1,8,0,0,0,4,Remain Constant,1,"Painting,. Sewing",0,0,Travelling,,,
R813,Outside Delhi-NCR,14,5,Good,Laptop/Desktop,4,0,8,2,3,2,3,Increased,0,Sleeping,0,1,School/college,,,
R814,Outside Delhi-NCR,20,0,Very poor,Smartphone,1,0,10,4,5,1,3,Increased,0,Online gaming,0,1,Travelling,,,
R815,Outside Delhi-NCR,22,0,Average,Smartphone,0,0,10,5,3,4,2,Remain Constant,0,Drawing,0,1,School/college,,,
R816,Outside Delhi-NCR,40,5,Average,Smartphone,2,1,8,4,7,6,3,Remain Constant,0,Scrolling through social media,1,1,Roaming around freely,,,
R817,Outside Delhi-NCR,23,1,Poor,Smartphone,2,1,8,2,6,2,2,Increased,1,Meditation,0,1,School/college,,,
R818,Outside Delhi-NCR,21,3,Very poor,Smartphone,2,2,7,3,7,3,2,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R819,Outside Delhi-NCR,21,5,Average,Smartphone,5,0,5,2,6,1,2,Remain Constant,0,Listening to music,1,0,To stay alone. ,,,
R820,Delhi-NCR,34,2,Average,Smartphone,1,1,7,4,7,2,3,Increased,0,Scrolling through social media,1,1,Travelling,,,
R821,Outside Delhi-NCR,40,1,Average,Smartphone,1,1,8,3,3,2,2,Decreased,0,Forming ,0,1,School/college,,,
R822,Outside Delhi-NCR,22,3,Good,Smartphone,2,1,8,2,5,1,2,Remain Constant,0,Online gaming,1,0,Colleagues,,,
R823,Outside Delhi-NCR,21,2,Very poor,Smartphone,0,2,8,4,6,2,2,Remain Constant,0,Cooking,0,0,Travelling,,,
R824,Outside Delhi-NCR,18,2,Poor,Smartphone,1,1,8.5,2,7,3,3,Remain Constant,0,Listening to music,0,0,School/college,,,
R825,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,7,1,9,2,6,0,2,Decreased,0,Scrolling through social media,0,0,Roaming around freely,,,
R826,Outside Delhi-NCR,21,0,Very poor,Smartphone,2,3,9,1,7,1,1,Decreased,1,Online surfing,0,0,Roaming around freely,,,
R827,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,5,1,8,3,3,1,4,Remain Constant,0,Scrolling through social media,1,1,"Friends , relatives",,,
R828,Outside Delhi-NCR,21,2,Good,Laptop/Desktop,2,2,7,0.5,7,0,4,Remain Constant,0,Reading,1,1,Colleagues,,,
R829,Outside Delhi-NCR,21,3,Very poor,Laptop/Desktop,8,0,6,1,1,0,2,Decreased,1,Scrolling through social media,0,0,School/college,,,
R830,Delhi-NCR,21,2,Very poor,Smartphone,3,0,8,2,6,0,2,Increased,1,Listening to music,0,0,School/college,,,
R831,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,0,11,3,6,0,3,Increased,0,Watching web series,0,0,Eating outside,,,
R832,Delhi-NCR,20,4,NA,NA,3,1,7,2,7,2,4,Remain Constant,0,Watching web series,1,1,ALL,,,
R833,Delhi-NCR,21,3,Very poor,Laptop/Desktop,5,0,7,1,5,0,4,Remain Constant,0,Online gaming,1,0,Eating outside,,,
R834,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,5,0.5,8,1,7,2,3,Increased,0,Meditation,1,1,"Friends , relatives",,,
R835,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,4,0,6,4,7,0,3,Remain Constant,0,Meditation,1,1,"Friends , relatives",,,
R836,Delhi-NCR,21,3,Very poor,Smartphone,8,1,8,1,7,0,3,Remain Constant,0,Meditation,1,0,"Friends , relatives",,,
R837,Delhi-NCR,21,5,Average,Smartphone,6,0,5,2,5,0,3,Increased,1,Online gaming,1,1,Eating outside,,,
R838,Outside Delhi-NCR,40,6,Excellent,Laptop/Desktop,2,1,6,2,7,2,3,Decreased,0,Listening to music,1,0,School/college,,,
R839,Delhi-NCR,20,2,Very poor,Smartphone,3,2,8,1,5,1,3,Increased,0,Listening to music,0,0,School/college,,,
R840,Delhi-NCR,22,4,Good,Laptop/Desktop,2,1,8,5,7,0,3,Remain Constant,0,Social Media,0,1,School/college,,,
R841,Delhi-NCR,19,5,Average,Smartphone,6,1,6,0,7,0,3,Remain Constant,0,Online surfing,1,1,School/college,,,
R842,Delhi-NCR,22,3,Good,Smartphone,3,0,12,1,5,4,2,Remain Constant,0,Online gaming,0,0,All,,,
R843,Delhi-NCR,20,6,Very poor,Laptop/Desktop,4,1,6,3,7,0.5,3,Remain Constant,0,Watching web series,1,1,"Friends , relatives",,,
R844,Delhi-NCR,36,4,Good,Laptop/Desktop,2,1,10,1,5,1,3,Increased,0,Sleeping,1,1,Colleagues,,,
R845,Delhi-NCR,23,4,Good,Laptop/Desktop,2,0.5,7,3,5,1,3,Remain Constant,0,Talking,1,1,Travelling,,,
R846,Outside Delhi-NCR,32,2,Average,Laptop/Desktop,3,0,9,2,0,0.5,3,Increased,0,Reading books,0,1,School/college,,,
R847,Outside Delhi-NCR,24,2,Average,Smartphone,3,0.5,9,2,2,0,2,Remain Constant,0,Sleeping,1,1,Family,,,
R848,Outside Delhi-NCR,20,5,Average,Laptop/Desktop,4,1,8,2,5,1,3,Remain Constant,0,Listening to music,0,1,Roaming around freely,,,
R849,Delhi-NCR,22,2,Excellent,Laptop/Desktop,3,1,8,2,6,1,3,Decreased,0,Online surfing,1,1,Eating outside,,,
R850,Delhi-NCR,20,5,Very poor,Laptop/Desktop,1,0,8,1,5,0.5,2,Remain Constant,0,Listening to music,0,1,"Friends , relatives",,,
R851,Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,0,10,2,7,0,3,Increased,0,Listening to music,0,0,School/college,,,
R852,Outside Delhi-NCR,38,4,Very poor,Laptop/Desktop,3,1,6,2,5,2,3,Remain Constant,0,Sleeping,1,1,Travelling,,,
R853,Delhi-NCR,27,3,Good,Laptop/Desktop,2,1,8,2,6,0.5,4,Decreased,1,Web Series,0,0,Travelling,,,
R854,Outside Delhi-NCR,20,2,Average,Laptop/Desktop,2,0,7,2,7,1,3,Increased,0,Scrolling through social media,0,1,"Friends , relatives",,,
R855,Outside Delhi-NCR,21,2,Very poor,Laptop/Desktop,8,1,9,5,5,1,3,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R856,Delhi-NCR,20,8,Very poor,Laptop/Desktop,2,0,6,2,1,3,3,Decreased,0,Listening to music,0,1,Eating outside,,,
R857,Delhi-NCR,20,4,Average,Smartphone,1,0,6,10,Talklife,2,1,Remain Constant,0,Online surfing,0,0,School/college,,,
R858,Delhi-NCR,22,5,Average,Smartphone,4,1,6,2,6,2,3,Increased,0,Listening to music,1,1,School/college,,,
R859,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,1,8,0.75,7,1,3,Remain Constant,0,Listening to music,0,0,Badminton in court,,,
R860,Outside Delhi-NCR,21,3,Very poor,Laptop/Desktop,1,0,8,1,6,0,3,Increased,0,Listening to music,0,1,Roaming around freely,,,
R861,Delhi-NCR,21,4,Very poor,Smartphone,6,0,9,2,5,0,2,Remain Constant,0,Listening to music,0,1,School/college,,,
R862,Delhi-NCR,21,4,Very poor,Smartphone,1,1,7,2,6,0,4,Increased,0,Scrolling through social media,1,1,Eating outside,,,
R863,Delhi-NCR,21,4,Average,Smartphone,2,2,12,2,6,0,2,Decreased,0,Online surfing,0,1,"Friends , relatives",,,
R864,Delhi-NCR,20,5,Average,Smartphone,5,1,6,2,6,1,3,Increased,0,Listening to music,0,1,School/college,,,
R865,Delhi-NCR,33,2,Very poor,Laptop/Desktop,1,1,7,1,5,0,3,Remain Constant,1,Online surfing,0,1,Travelling,,,
R866,Delhi-NCR,20,4,Very poor,Smartphone,5,1,10,3,7,0,2,Remain Constant,0,Listening to music,0,0,School/college,,,
R867,Delhi-NCR,21,3,Average,Smartphone,2,2,7,1,7,3,2,Remain Constant,0,Workout and listening music,1,1,Travelling,,,
R868,Delhi-NCR,20,6,Average,Laptop/Desktop,2,2,7,3,7,1,4,Decreased,0,Meditation,1,0,"Friends , relatives",,,
R869,Delhi-NCR,37,2,Good,Laptop/Desktop,1,1,7,0.5,7,1,2,Remain Constant,0,Listening to music,1,1,Travelling,,,
R870,Delhi-NCR,22,5,Average,Smartphone,3,0,8,3,6,0,3,Remain Constant,0,Both listining music and scrolling down social media,0,1,School/college,,,
R871,Outside Delhi-NCR,33,4,Average,Laptop/Desktop,1,0,7,1,7,0,4,Increased,0,Cooking,1,1,School/college,,,
R872,Outside Delhi-NCR,17,1,Very poor,Smartphone,2,0,7,2,8,1,3,Increased,1,Dancing,0,0,"Friends , relatives",,,
R873,Outside Delhi-NCR,20,4,Average,Smartphone,5,1,7,0.5,6,0,3,Decreased,0,Listening to music,1,1,School/college,,,
R874,Delhi-NCR,19,2,Average,Laptop/Desktop,2,1,9,2,6,1,4,Remain Constant,0,Listening to music,0,0,"Friends , relatives",,,
R875,Outside Delhi-NCR,20,4,Average,Smartphone,3,1,7,1,5,1,2,Increased,0,Meditation,1,1,Travelling,,,
R876,Outside Delhi-NCR,21,3,Very poor,Smartphone,4,1,5,2,5,0,3,Remain Constant,0,Sleeping,1,1,School/college,,,
R877,Delhi-NCR,17,7,Very poor,Smartphone,2,1,6,3,5,1,3,Increased,0,Watching web series,0,1,Travelling,,,
R878,Outside Delhi-NCR,20,3,Poor,Smartphone,2,0,7,3,5,1,2,Decreased,1,Watching web series,0,1,"Friends, relatives & travelling",,,
R879,Outside Delhi-NCR,20,7,Very poor,Laptop/Desktop,4,0,7,2,6,1,3,Remain Constant,0,Online gaming,1,1,Travelling,,,
R880,Outside Delhi-NCR,19,10,Average,Laptop/Desktop,3,1,5,1,6,0.5,4,Remain Constant,0,Reading books,0,0,"Friends , relatives",,,
R881,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,2,0,9,1,6,2,3,Remain Constant,0,Listening to music,0,0,ALL,,,
R882,Outside Delhi-NCR,20,8,Average,Laptop/Desktop,5,1,5,3,6,0.5,3,Remain Constant,0,Listening to music,0,1,Roaming around freely,,,
R883,Outside Delhi-NCR,36,5,Good,Laptop/Desktop,4,1,5,1,7,1,2,Remain Constant,0,Reading,1,1,Travelling,,,
R884,Outside Delhi-NCR,20,4,Very poor,Smartphone,4,0,8,1,6,0,3,Remain Constant,0,Meditation,0,0,Eating outside,,,
R885,Outside Delhi-NCR,31,4,Good,Laptop/Desktop,3,2,9,2,1,0,2,Decreased,0,Talking,1,1,Travelling,,,
R886,Delhi-NCR,22,6,Very poor,Laptop/Desktop,4,0,8,2,7,0.5,4,Increased,0,Sleeping,0,0,School/college,,,
R887,Delhi-NCR,22,5,Average,Smartphone,4,1,8,2,5,1,2,Decreased,0,Listening to music,1,1,Travelling,,,
R888,Delhi-NCR,28,3,Good,Laptop/Desktop,2,1,8,4,6,1,3,Remain Constant,0,Reading,1,1,Travelling,,,
R889,Outside Delhi-NCR,16,5,Very poor,Smartphone,1,0,10,3,7,0,2,Decreased,0,Scrolling through social media,0,0,"Friends , relatives",,,
R890,Delhi-NCR,20,2,Average,Smartphone,3,0,12,7,6,1.5,4,Decreased,1,Scrolling through social media,0,0,School/college,,,
R891,Outside Delhi-NCR,21,2,Very poor,Smartphone,4,0,8,1,7,2,3,Increased,1,Listening to music,0,0,Roaming around freely,,,
R892,Delhi-NCR,19,4,Average,Laptop/Desktop,3,2,7,4,6,0,3,Decreased,0,Online gaming,0,1,Travelling,,,
R893,Delhi-NCR,20,6,Average,Laptop/Desktop,2,1,8,2,6,1,3,Remain Constant,0,Sleeping,1,1,Roaming around freely,,,
R894,Outside Delhi-NCR,14,2,Good,Smartphone,2,1,8,3,7,1,3,Increased,0,Sleeping,0,1,School/college,,,
R895,Outside Delhi-NCR,26,1,Average,Smartphone,3,1,8,4,5,0,3,Decreased,1,Watching web series,0,1,Roaming around freely,,,
R896,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,8,6,6,5,4,Increased,0,Listening to music,0,1,Roaming around freely,,,
R897,Outside Delhi-NCR,34,1,Good,Smartphone,3,0.5,7,0,0,1,1,Remain Constant,0,Listening to music,0,0,Colleagues,,,
R898,Delhi-NCR,19,5,Very poor,Smartphone,2,0,6,3,6,0,1,Increased,0,Online gaming,0,1,Travelling,,,
R899,Delhi-NCR,19,8,Very poor,Laptop/Desktop,2,1,6,2,7,0,3,Remain Constant,0,Sleeping,0,0,Roaming around freely,,,
R900,Outside Delhi-NCR,21,7,Good,Any Gadget,7,0,10,3,7,0,3,Remain Constant,0,Sleeping,1,1,School/college,,,
R901,Outside Delhi-NCR,23,4,Very poor,Laptop/Desktop,1,0,7,8,3,2,3,Decreased,0,Online surfing,0,1,Travelling,,,
R902,Delhi-NCR,19,5,Very poor,Smartphone,2,0,7,3,6,0,3,Increased,0,Scrolling through social media,1,1,Eating outside,,,
R903,Delhi-NCR,27,1,Average,Laptop/Desktop,2,0,8,3,6,2,3,Increased,0,Cooking,1,1,Travelling,,,
R904,Outside Delhi-NCR,33,3,Average,Smartphone,1,0,6,1,7,4,2,Decreased,1,Sleeping,0,1,Roaming around freely,,,
R905,Outside Delhi-NCR,21,5,Average,Smartphone,3,1,11,3,5,2,3,Remain Constant,0,Cooking,0,0,School/college,,,
R906,Outside Delhi-NCR,21,2,Very poor,Smartphone,3,0,8,4,7,1,3,Remain Constant,0,Watching web series,0,0,All,,,
R907,Outside Delhi-NCR,24,0,Very poor,Smartphone,1,0,5,4,1,6,3,Decreased,1,Scrolling through social media,0,1,"Friends , relatives",,,
R908,Outside Delhi-NCR,23,0,Good,Laptop/Desktop,0,0,8,3,5,0,1,Remain Constant,0,Social Media,0,0,Gym,,,
R909,Delhi-NCR,20,5,Good,Laptop/Desktop,1,1,8,1,6,1,4,Decreased,0,Listening to music,1,1,Colleagues,,,
R910,Outside Delhi-NCR,29,10,Good,Laptop/Desktop,7,1,6,7,7,2,2,Remain Constant,0,Web Series,1,1,Eating outside,,,
R911,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,1,1,10,5,6,0.3,3,Decreased,0,Online surfing,1,1,Travelling,,,
R912,Delhi-NCR,21,1,Good,Smartphone,5,0,7,2,1,2,2,Remain Constant,0,Dancing,0,0,School/college,,,
R913,Outside Delhi-NCR,21,6,Average,Laptop/Desktop,2,1,8,5,6,2,2,Increased,0,Reading books,0,1,Roaming around freely,,,
R914,Delhi-NCR,19,7,Average,Laptop/Desktop,1,1,5,6,6,1,3,Remain Constant,0,Dancing,0,1,"Friends , relatives",,,
R915,Delhi-NCR,19,5,Average,Smartphone,6,2,5,4,6,0,3,Remain Constant,0,Scrolling through social media,1,1,School/college,,,
R916,Delhi-NCR,39,2,Excellent,Tablet,1,1,7,1,7,0.5,3,Remain Constant,0,Cooking,0,1,"Friends , relatives",,,
R917,Outside Delhi-NCR,20,3,Average,Smartphone,2,0,8,1,3,1,3,Remain Constant,0,Meditation,0,1,School/college,,,
R918,Delhi-NCR,19,5,Average,Laptop/Desktop,2,0.5,8,2,7,1,3,Increased,0,Listening to music,0,1,Roaming around freely,,,
R919,Outside Delhi-NCR,23,2,Average,Laptop/Desktop,6,2,7,4,3,2,4,Remain Constant,0,Online surfing,1,1,Roaming around freely,,,
R920,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,2,0,10,2,7,0.5,3,Increased,0,Listening to music,1,0,School/college,,,
R921,Outside Delhi-NCR,10,5,Average,Laptop/Desktop,2,1,9,1.5,7,1,4,Increased,0,Online gaming,1,1,everything,,,
R922,Delhi-NCR,14,5,Average,Tablet,1,1,9,1,5,4,3,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R923,Outside Delhi-NCR,9,5,Excellent,Smartphone or Laptop/Desktop,2,0.6,7,1,7,0,4,Remain Constant,0,Online gaming,1,1,Eating outside,,,
R924,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,3,1,7,1,2,2,3,Decreased,0,Online gaming,1,1,Roaming around freely,,,
R925,Outside Delhi-NCR,13,4,Good,Laptop/Desktop,2,0,10,3,5,0,4,Remain Constant,0,Online gaming,0,1,Colleagues,,,
R926,Delhi-NCR,23,2,Very poor,Smartphone,2,1,6,3,7,0,3,Increased,0,Listening to music,0,0,School/college,,,
R927,Delhi-NCR,13,5,Very poor,Smartphone,1,0.6,7,4,5,2,4,Decreased,0,Listening to music,0,1,School/college,,,
R928,Outside Delhi-NCR,21,1,Good,Laptop/Desktop,3,1,10,3,6,1,3,Increased,0,Social Media,1,1,School/college,,,
R929,Outside Delhi-NCR,34,3,Average,Smartphone,6,0,6,1,7,1,3,Remain Constant,0,Listening to music,1,1,School/college,,,
R930,Delhi-NCR,14,9,Good,Smartphone,2,1,9,1,6,0,2,Remain Constant,0,Online gaming,1,1,Colleagues,,,
R931,Delhi-NCR,32,2,Average,Smartphone,2,1,6,1,5,0,1,Remain Constant,0,Listening to music,1,1,Travelling,,,
R932,Outside Delhi-NCR,21,3,Average,Smartphone,2,1,8,6,7,3,2,Remain Constant,0,Painting,0,1,School/college,,,
R933,Delhi-NCR,19,3,Excellent,Smartphone,0,1,6,4,3,1,3,Remain Constant,0,Listening to music,1,0,School/college,,,
R934,Outside Delhi-NCR,14,5,Average,Tablet,3,1,6,4,5,0,2,Increased,1,Listening to music,1,1,Travelling,,,
R935,Delhi-NCR,22,1,Average,Smartphone,1,0,9,3,6,0,3,Increased,0,Listening to music,1,1,Eating outside,,,
R936,Outside Delhi-NCR,26,9,Very poor,Laptop/Desktop,2,0,5,3,1,1,3,Increased,0,Reading books,1,1,School/college,,,
R937,Outside Delhi-NCR,21,2,Very poor,Smartphone,2,0,7,1,5,1,3,Remain Constant,1,Listening to music,0,1,School/college,,,
R938,Delhi-NCR,22,1,Very poor,Laptop/Desktop,6,0,6,2,7,0,2,Increased,1,Watching web series,1,1,Travelling,,,
R939,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,3,1,8,6,6,2,3,Remain Constant,0,Dancing,1,1,Travelling,,,
R940,Outside Delhi-NCR,40,5,Excellent,Laptop/Desktop,4,1,7,6,1,2,3,Remain Constant,0,Listening to music,1,1,School/college,,,
R941,Outside Delhi-NCR,15,2,Good,Laptop/Desktop,2,0,11,5,5,0,3,Remain Constant,0,Web Series,0,1,0thing,,,
R942,Delhi-NCR,16,3,Average,Smartphone,3,0,10,5,6,3,4,Remain Constant,0,Listening to music,0,1,Eating outside,,,
R943,Outside Delhi-NCR,20,4,Very poor,Smartphone,3,1,8,5,5,2,4,Increased,0,Reading books,1,1,Roaming around freely,,,
R944,Outside Delhi-NCR,22,2,Very poor,Laptop/Desktop,1,0,8,4,7,0,2,Remain Constant,0,Online gaming,0,1,"Friends , relatives",,,
R945,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,6,0,8,5,6,1,3,Increased,0,Listening to music,0,1,Eating outside,,,
R946,Delhi-NCR,23,2,Good,Smartphone,7,0,7,4,6,1,4,Increased,0,Dancing,0,1,Travelling,,,
R947,Delhi-NCR,21,4,Good,Laptop/Desktop,10,1,7,3,7,0,3,Remain Constant,1,Listening to music,0,1,Travelling,,,
R948,Outside Delhi-NCR,17,3,Average,Smartphone,2,1,8,5,7,3.5,1,Remain Constant,0,Watching web series,1,1,School/college,,,
R949,Delhi-NCR,24,0,Average,Laptop/Desktop,10,1,8,1,7,0,3,Increased,0,Talking to your relatives,1,1,School/college,,,
R950,Delhi-NCR,19,1,Average,Smartphone,0,0,8,6,6,2,2,Decreased,1,Online gaming,0,0,Eating outside,,,
R951,Delhi-NCR,23,10,Average,Laptop/Desktop,1,0,8,8,5,1,3,Decreased,0,Watching web series,1,1,Travelling,,,
R952,Delhi-NCR,21,6,Average,Smartphone,2,1,7,3,7,1,3,Decreased,0,Reading books,1,1,"Friends , relatives",,,
R953,Delhi-NCR,14,6,Good,Tablet,2,0,8.3,1,5,2.5,3,Increased,0,Online gaming,0,1,All,,,
R954,Outside Delhi-NCR,14,3,Good,Smartphone,1,0,8,3,5,1,4,Remain Constant,0,Web Series,0,1,Colleagues,,,
R955,Delhi-NCR,23,2,Average,Laptop/Desktop,6,1,7,2,1,1,3,Increased,0,Online gaming,0,1,School/college,,,
R956,Delhi-NCR,21,0,NA,NA,1,1,11,8,6,3,3,Increased,0,Listening to music,0,1,Travelling,,,
R957,Outside Delhi-NCR,33,2,Average,Smartphone,1,0,6,1,7,0.5,2,Remain Constant,0,Meditation,0,1,Travelling,,,
R958,Delhi-NCR,11,4,Good,Smartphone,2,0,9,1,7,0,3,Remain Constant,0,Sleeping,1,1,School/college,,,
R959,Delhi-NCR,20,3,Good,Laptop/Desktop,2,1,10,2,6,0,4,Increased,0,Sleeping,1,1,Colleagues,,,
R960,Outside Delhi-NCR,23,2,Average,Smartphone,2,0.3,8,1,7,0,3,Decreased,0,Meditation,1,1,"Friends , relatives",,,
R961,Delhi-NCR,20,0,NA,NA,2,0,7,0.5,2,2,2,Remain Constant,0,Online surfing,0,1,Eating outside,,,
R962,Delhi-NCR,18,0,Poor,Smartphone,0,2,12,1,2,0,7,Increased,0,Online gaming,0,1,Roaming around freely,,,
R963,Delhi-NCR,21,4,Average,Smartphone,8,0,6,1,5,0,2,Decreased,1,Online surfing,0,0,Travelling,,,
R964,Delhi-NCR,38,2,Very poor,Laptop/Desktop,4,0,7,3,7,1,3,Increased,0,Scrolling through social media,0,0,Roaming around freely,,,
R965,Delhi-NCR,20,5,Good,Laptop/Desktop,5,0,8,3,5,0,2,Remain Constant,0,Reading,1,0,Colleagues,,,
R966,Delhi-NCR,21,0,NA,NA,6,1,9,2,7,0.5,4,Increased,0,Scrolling through social media,1,1,"Friends , relatives",,,
R967,Delhi-NCR,11,2,Excellent,Smartphone,1,0,10,3,5,2,3,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R968,Outside Delhi-NCR,22,0,Good,Laptop/Desktop,4,1,7,3,6,0,3,Increased,0,Listening to music,0,1,Travelling,,,
R969,Delhi-NCR,23,0,NA,NA,2,2,10,6,5,0,2,Remain Constant,0,Listening to music,1,0,School/college,,,
R970,Delhi-NCR,21,8,Very poor,Laptop/Desktop,1,1,9,2,6,0,3,Remain Constant,1,Scrolling through social media,0,0,Eating outside,,,
R971,Delhi-NCR,26,0,Very poor,Smartphone,0,0,12,2,1,2,2,Remain Constant,1,Listening to music,0,0,School/college,,,
R972,Outside Delhi-NCR,23,2,Very poor,Laptop/Desktop,1,1,7.5,1,7,2,3,Remain Constant,0,Online gaming,1,1,Travelling,,,
R973,Delhi-NCR,19,3,Average,Smartphone,5,1,6,1,5,0,2,Remain Constant,0,Reading books,1,1,"Friends , relatives",,,
R974,Delhi-NCR,21,5,Average,Smartphone,3,1,8,4,5,0,4,Remain Constant,1,Cooking,0,0,School/college,,,
R975,Delhi-NCR,20,4,Very poor,Laptop/Desktop,3,0,9,2,6,1,2,Remain Constant,0,Scrolling through social media,1,0,School/college,,,
R976,Outside Delhi-NCR,19,1,Good,Laptop/Desktop,2,0,8,1,7,0.3,3,Remain Constant,0,Dancing,0,1,School/college,,,
R977,Outside Delhi-NCR,20,4,Very poor,Smartphone,2,0,10,1,6,0,3,Decreased,0,Sleeping,0,0,Roaming around freely,,,
R978,Delhi-NCR,19,2,Average,Laptop/Desktop,3,0.5,8,2,6,1,3,Increased,0,Watching web series,0,0,School/college,,,
R979,Delhi-NCR,17,4,Good,Laptop/Desktop,2,1,10,6,7,4,4,Increased,0,Listening to music,1,1,Colleagues,,,
R980,Delhi-NCR,20,10,Very poor,Laptop/Desktop,2,1,8,5,6,0,3,Remain Constant,0,Scrolling through social media,0,0,0thing,,,
R981,Outside Delhi-NCR,20,4,Good,Smartphone,2,1,8,2,6,0.1,4,Remain Constant,0,Cooking,1,1,School/college,,,
R982,Outside Delhi-NCR,27,4,Average,Smartphone,2,0,7,8,5,4,3,Increased,0,Listening to music,0,1,Travelling,,,
R983,Delhi-NCR,18,7,Very poor,Smartphone,4,0,9,2,6,0,2,Decreased,0,Online surfing,0,1,School/college,,,
R984,Outside Delhi-NCR,18,8,Good,Smartphone,2,0.25,7,1.5,6,1,3,Increased,0,Talking,0,0,School/college,,,
R985,Outside Delhi-NCR,19,6,Average,Smartphone,4,1,6,5,7,2,3,Remain Constant,0,Online gaming,0,0,School/college,,,
R986,Delhi-NCR,18,5,Very poor,Smartphone,0,0,7,1,6,0.5,3,Decreased,0,Online gaming,1,0,School/college,,,
